model_key	point_id	language_script	group	x	y	text_preview
v52_random_conv5way_step2000	p0	dtp_Latn	v5_target	-0.010687	-0.424708	Songkuro ginayo lo?
v52_random_conv5way_step2000	p1	eng_Latn	v5_target	-0.586458	0.060107	How big will it be?
v52_random_conv5way_step2000	p2	dtp_Latn	v5_target	0.013044	-0.379340	Langad-langadon ku diya!
v52_random_conv5way_step2000	p3	eng_Latn	v5_target	-0.551705	0.252518	My longing for you is killing me!
v52_random_conv5way_step2000	p4	dtp_Latn	v5_target	0.587136	-0.382258	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_random_conv5way_step2000	p5	eng_Latn	v5_target	-0.514647	0.150140	I recently broke up with my boyfriend of three years.
v52_random_conv5way_step2000	p6	dtp_Latn	v5_target	0.491474	-0.543264	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_random_conv5way_step2000	p7	eng_Latn	v5_target	-0.548725	0.226178	I've been able to drive for more than twenty years.
v52_random_conv5way_step2000	p8	dtp_Latn	v5_target	-0.275395	-0.415569	Luminabus i Tom.
v52_random_conv5way_step2000	p9	eng_Latn	v5_target	-0.572330	-0.167355	Tom was out.
v52_random_conv5way_step2000	p10	dtp_Latn	v5_target	-0.144311	-0.481185	Manu oku poposolon di Tom.
v52_random_conv5way_step2000	p11	eng_Latn	v5_target	-0.592921	0.088728	I want to make Tom jealous.
v52_random_conv5way_step2000	p12	dtp_Latn	v5_target	-0.013046	-0.635539	Orohian ko' do kumaau.
v52_random_conv5way_step2000	p13	eng_Latn	v5_target	-0.659972	-0.035297	You like swimming.
v52_random_conv5way_step2000	p14	dtp_Latn	v5_target	0.284476	-0.510719	Au kou mangandad no sominggu?
v52_random_conv5way_step2000	p15	eng_Latn	v5_target	-0.549990	0.220695	Couldn't you have just waited a week?
v52_random_conv5way_step2000	p16	dtp_Latn	v5_target	0.273512	-0.617235	Osonong tomod ura tinan nu mantad doho.
v52_random_conv5way_step2000	p17	eng_Latn	v5_target	-0.657228	0.210454	You're in better shape than I am.
v52_random_conv5way_step2000	p18	dtp_Latn	v5_target	-0.150730	-0.445156	Mamadil oku kama dau.
v52_random_conv5way_step2000	p19	eng_Latn	v5_target	-0.610241	0.118589	I'm gonna shoot him.
v52_random_conv5way_step2000	p20	dtp_Latn	v5_target	0.331392	-0.524202	Nokoumbal kou nokorongou diti tangon no?
v52_random_conv5way_step2000	p21	eng_Latn	v5_target	-0.583255	0.165806	Have you heard this story already?
v52_random_conv5way_step2000	p22	dtp_Latn	v5_target	0.342389	-0.486728	Obuli ko' daa lumisok kaka ri?
v52_random_conv5way_step2000	p23	eng_Latn	v5_target	-0.625956	0.102910	Can you keep a secret?
v52_random_conv5way_step2000	p24	dtp_Latn	v5_target	0.250062	-0.534579	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
v52_random_conv5way_step2000	p25	eng_Latn	v5_target	-0.544350	0.265952	A piano is expensive, but a car is more expensive.
v52_random_conv5way_step2000	p26	dtp_Latn	v5_target	0.247275	-0.599453	Minsingilo' ko' nangku boros Inggilis?
v52_random_conv5way_step2000	p27	eng_Latn	v5_target	-0.549080	0.021414	Do you study English?
v52_random_conv5way_step2000	p28	dtp_Latn	v5_target	0.124015	-0.468149	Milo' oku daa mokianu kamus nu?
v52_random_conv5way_step2000	p29	eng_Latn	v5_target	-0.481841	-0.053215	May I borrow your dictionary?
v52_random_conv5way_step2000	p30	dtp_Latn	v5_target	0.170710	-0.482729	Otopot toi maso id jam nu?
v52_random_conv5way_step2000	p31	eng_Latn	v5_target	-0.601924	0.026366	Is your watch correct?
v52_random_conv5way_step2000	p32	dtp_Latn	v5_target	0.512438	-0.376050	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.
v52_random_conv5way_step2000	p33	eng_Latn	v5_target	-0.467646	0.276958	Some scientists predict that the world oil reserves will be used up within a century.
v52_random_conv5way_step2000	p34	dtp_Latn	v5_target	-0.117160	-0.421968	Manu ko' do apol?
v52_random_conv5way_step2000	p35	eng_Latn	v5_target	-0.615884	0.041410	Do you like apples?
v52_random_conv5way_step2000	p36	dtp_Latn	v5_target	-0.105987	-0.587803	Mada oku dii.
v52_random_conv5way_step2000	p37	eng_Latn	v5_target	-0.557441	0.039160	I don't think so.
v52_random_conv5way_step2000	p38	dtp_Latn	v5_target	-0.149698	-0.653046	Olumis ilo wotik.
v52_random_conv5way_step2000	p39	eng_Latn	v5_target	-0.618748	0.088443	That's a pretty colour.
v52_random_conv5way_step2000	p40	dtp_Latn	v5_target	0.244209	-0.512841	Au oku nokoilo nunu o taakan ku kosodop.
v52_random_conv5way_step2000	p41	eng_Latn	v5_target	-0.562695	0.149707	I can't remember what I ate last night.
v52_random_conv5way_step2000	p42	dtp_Latn	v5_target	0.251905	-0.426284	Nokoumbal ko' minoi hilo'd Paris di gulu?
v52_random_conv5way_step2000	p43	eng_Latn	v5_target	-0.558735	0.138398	Have you ever been to Paris?
v52_random_conv5way_step2000	p44	dtp_Latn	v5_target	0.179739	-0.657000	Kikaraja isido dot oruhai sabaagi do mananaip.
v52_random_conv5way_step2000	p45	eng_Latn	v5_target	-0.494586	0.092910	She got a part-time job as a typist.
v52_random_conv5way_step2000	p46	dtp_Latn	v5_target	0.374399	-0.429612	Manahak nopo do tunturu tokoro nga onuan disio do tunturu ngai iso longon.
