language_script	group	source_sentences	sampling_probability_pct	planned_samples	actual_samples	input_dir	exists_on_disk	status	notes
lao_Laoo	seen	66966		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/lao_Laoo	yes	PASS	
mya_Mymr	seen	945180		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/mya_Mymr	yes	PASS	
ara_Arab	seen	24524122		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ara_Arab	yes	PASS	
mar_Deva	seen	28748897		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/mar_Deva	yes	PASS	
hau_Latn	seen	4368483		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/hau_Latn	yes	PASS	
uzb_Latn	seen	3223485		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/uzb_Latn	yes	PASS	
slv_Latn	seen	15719210		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/slv_Latn	yes	PASS	
fin_Latn	seen	16730388		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/fin_Latn	yes	PASS	
hun_Latn	seen	18800025		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/hun_Latn	yes	PASS	
cmn_Hani	seen	80745		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/cmn_Hani	yes	PASS	
est_Latn	seen	13600579		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/est_Latn	yes	PASS	
bre_Latn	seen	748954		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/bre_Latn	yes	PASS	
hrv_Latn	seen	17882932		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/hrv_Latn	yes	PASS	
jav_Latn	seen	516833		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/jav_Latn	yes	PASS	
ron_Latn	seen	19190217		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ron_Latn	yes	PASS	
ell_Grek	seen	22033282		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ell_Grek	yes	PASS	
nor_Latn	seen	14576191		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/nor_Latn	yes	PASS	
slk_Latn	seen	14633631		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/slk_Latn	yes	PASS	
vie_Latn	seen	15697827		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/vie_Latn	yes	PASS	
amh_Ethi	seen	2862985		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/amh_Ethi	yes	PASS	
epo_Latn	seen	8737198		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/epo_Latn	yes	PASS	
