model_key	point_id	language_script	group	x	y	text_preview
v52_family_mean_conv5way_step1000	p0	dtp_Latn	v5_target	-0.045842	-0.584279	Songkuro ginayo lo?
v52_family_mean_conv5way_step1000	p1	eng_Latn	v5_target	-0.547961	0.203159	How big will it be?
v52_family_mean_conv5way_step1000	p2	dtp_Latn	v5_target	0.015168	-0.432680	Langad-langadon ku diya!
v52_family_mean_conv5way_step1000	p3	eng_Latn	v5_target	-0.512042	0.300726	My longing for you is killing me!
v52_family_mean_conv5way_step1000	p4	dtp_Latn	v5_target	0.441052	-0.472580	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_family_mean_conv5way_step1000	p5	eng_Latn	v5_target	-0.522023	0.171091	I recently broke up with my boyfriend of three years.
v52_family_mean_conv5way_step1000	p6	dtp_Latn	v5_target	0.343009	-0.633254	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_family_mean_conv5way_step1000	p7	eng_Latn	v5_target	-0.478149	0.375745	I've been able to drive for more than twenty years.
v52_family_mean_conv5way_step1000	p8	dtp_Latn	v5_target	-0.334946	-0.370698	Luminabus i Tom.
v52_family_mean_conv5way_step1000	p9	eng_Latn	v5_target	-0.520016	-0.108160	Tom was out.
v52_family_mean_conv5way_step1000	p10	dtp_Latn	v5_target	-0.140460	-0.613532	Manu oku poposolon di Tom.
v52_family_mean_conv5way_step1000	p11	eng_Latn	v5_target	-0.546689	0.151527	I want to make Tom jealous.
v52_family_mean_conv5way_step1000	p12	dtp_Latn	v5_target	-0.036568	-0.650156	Orohian ko' do kumaau.
v52_family_mean_conv5way_step1000	p13	eng_Latn	v5_target	-0.597790	0.036021	You like swimming.
v52_family_mean_conv5way_step1000	p14	dtp_Latn	v5_target	0.203557	-0.521620	Au kou mangandad no sominggu?
v52_family_mean_conv5way_step1000	p15	eng_Latn	v5_target	-0.461494	0.331199	Couldn't you have just waited a week?
v52_family_mean_conv5way_step1000	p16	dtp_Latn	v5_target	-0.005479	-0.744680	Osonong tomod ura tinan nu mantad doho.
v52_family_mean_conv5way_step1000	p17	eng_Latn	v5_target	-0.570542	0.316913	You're in better shape than I am.
v52_family_mean_conv5way_step1000	p18	dtp_Latn	v5_target	-0.119604	-0.446483	Mamadil oku kama dau.
v52_family_mean_conv5way_step1000	p19	eng_Latn	v5_target	-0.472774	0.203964	I'm gonna shoot him.
v52_family_mean_conv5way_step1000	p20	dtp_Latn	v5_target	0.193757	-0.591114	Nokoumbal kou nokorongou diti tangon no?
v52_family_mean_conv5way_step1000	p21	eng_Latn	v5_target	-0.566038	0.259387	Have you heard this story already?
v52_family_mean_conv5way_step1000	p22	dtp_Latn	v5_target	0.212033	-0.506925	Obuli ko' daa lumisok kaka ri?
v52_family_mean_conv5way_step1000	p23	eng_Latn	v5_target	-0.557706	0.194532	Can you keep a secret?
v52_family_mean_conv5way_step1000	p24	dtp_Latn	v5_target	0.205057	-0.491210	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
v52_family_mean_conv5way_step1000	p25	eng_Latn	v5_target	-0.493051	0.375795	A piano is expensive, but a car is more expensive.
v52_family_mean_conv5way_step1000	p26	dtp_Latn	v5_target	0.202851	-0.594326	Minsingilo' ko' nangku boros Inggilis?
