run_id	token_id	token	masked_count	avg_loss	max_loss	observed_seeds	status	notes
step17_v2_added_token_failure_20260611_173758	264319	tusen	1	18.876837	18.876837	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	263535	adorana	1	18.540462	18.540462	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	262346	bu̶cu̶	1	18.054594	18.054594	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	261101	Olivo	1	17.784815	17.784815	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	264124	ticuxtaj	1	17.719082	17.719082	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	262836	ajchac	1	17.699217	17.699217	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	266580	yiñasere	1	17.511858	17.511858	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	262090	Tudieja	1	17.073477	17.073477	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	268200	awakan	1	16.922338	16.922338	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	263196	tãmu̶ose	1	16.798349	16.798349	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	262427	useruma	1	16.705555	16.705555	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	258996	ܒܐܘܪܚܐ	1	16.492525	16.492525	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	251751	huaj	4	16.169214	20.176197	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	272968	levadúraca	1	16.007523	16.007523	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	274786	ústono	1	16.003616	16.003616	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	264247	jkajak	1	16.000696	16.000696	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	263661	bosaba	1	15.980407	15.980407	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	274893	ajijedicõañujarã	1	15.942452	15.942452	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	273514	querquen	1	15.934030	15.934030	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	264655	xxuc	1	15.914152	15.914152	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	268375	viriju̶	1	15.896476	15.896476	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	266988	vauvase	1	15.865559	15.865559	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	260770	isapema	1	15.832439	15.832439	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	275291	vinagre	1	15.819023	15.819023	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	271987	ᏕᏤᏯᏙ	1	15.785707	15.785707	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	265167	varũtu	1	15.779097	15.779097	17	PASS	adapted checkpoints only
