model_key	point_id	language_script	group	x	y	text_preview
v52_mean_conv5way_step7000	p0	dtp_Latn	v5_target	0.042985	-0.510597	Songkuro ginayo lo?
v52_mean_conv5way_step7000	p1	eng_Latn	v5_target	-0.497728	0.121572	How big will it be?
v52_mean_conv5way_step7000	p2	dtp_Latn	v5_target	0.007748	-0.529580	Langad-langadon ku diya!
v52_mean_conv5way_step7000	p3	eng_Latn	v5_target	-0.446386	0.199337	My longing for you is killing me!
v52_mean_conv5way_step7000	p4	dtp_Latn	v5_target	0.548743	-0.402001	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_mean_conv5way_step7000	p5	eng_Latn	v5_target	-0.437413	0.253044	I recently broke up with my boyfriend of three years.
v52_mean_conv5way_step7000	p6	dtp_Latn	v5_target	0.425832	-0.473682	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_mean_conv5way_step7000	p7	eng_Latn	v5_target	-0.422678	0.330849	I've been able to drive for more than twenty years.
v52_mean_conv5way_step7000	p8	dtp_Latn	v5_target	-0.335429	-0.398362	Luminabus i Tom.
v52_mean_conv5way_step7000	p9	eng_Latn	v5_target	-0.520374	-0.183334	Tom was out.
v52_mean_conv5way_step7000	p10	dtp_Latn	v5_target	-0.017347	-0.577646	Manu oku poposolon di Tom.
v52_mean_conv5way_step7000	p11	eng_Latn	v5_target	-0.532285	0.056206	I want to make Tom jealous.
v52_mean_conv5way_step7000	p12	dtp_Latn	v5_target	-0.033455	-0.643691	Orohian ko' do kumaau.
v52_mean_conv5way_step7000	p13	eng_Latn	v5_target	-0.582632	-0.038147	You like swimming.
v52_mean_conv5way_step7000	p14	dtp_Latn	v5_target	0.163069	-0.627000	Au kou mangandad no sominggu?
v52_mean_conv5way_step7000	p15	eng_Latn	v5_target	-0.419434	0.251828	Couldn't you have just waited a week?
v52_mean_conv5way_step7000	p16	dtp_Latn	v5_target	0.214798	-0.505972	Osonong tomod ura tinan nu mantad doho.
v52_mean_conv5way_step7000	p17	eng_Latn	v5_target	-0.559894	0.226593	You're in better shape than I am.
v52_mean_conv5way_step7000	p18	dtp_Latn	v5_target	-0.078789	-0.574995	Mamadil oku kama dau.
v52_mean_conv5way_step7000	p19	eng_Latn	v5_target	-0.562497	0.029255	I'm gonna shoot him.
v52_mean_conv5way_step7000	p20	dtp_Latn	v5_target	0.259563	-0.577640	Nokoumbal kou nokorongou diti tangon no?
v52_mean_conv5way_step7000	p21	eng_Latn	v5_target	-0.486770	0.165412	Have you heard this story already?
v52_mean_conv5way_step7000	p22	dtp_Latn	v5_target	0.310853	-0.523441	Obuli ko' daa lumisok kaka ri?
v52_mean_conv5way_step7000	p23	eng_Latn	v5_target	-0.535825	0.093304	Can you keep a secret?
v52_mean_conv5way_step7000	p24	dtp_Latn	v5_target	0.347606	-0.469881	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
v52_mean_conv5way_step7000	p25	eng_Latn	v5_target	-0.438889	0.315535	A piano is expensive, but a car is more expensive.
v52_mean_conv5way_step7000	p26	dtp_Latn	v5_target	0.114983	-0.469549	Minsingilo' ko' nangku boros Inggilis?
v52_mean_conv5way_step7000	p27	eng_Latn	v5_target	-0.452523	-0.009628	Do you study English?
v52_mean_conv5way_step7000	p28	dtp_Latn	v5_target	0.213033	-0.512215	Milo' oku daa mokianu kamus nu?
v52_mean_conv5way_step7000	p29	eng_Latn	v5_target	-0.488108	-0.129650	May I borrow your dictionary?
v52_mean_conv5way_step7000	p30	dtp_Latn	v5_target	0.059125	-0.636236	Otopot toi maso id jam nu?
v52_mean_conv5way_step7000	p31	eng_Latn	v5_target	-0.515827	0.025061	Is your watch correct?
v52_mean_conv5way_step7000	p32	dtp_Latn	v5_target	0.571354	-0.416949	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.
v52_mean_conv5way_step7000	p33	eng_Latn	v5_target	-0.372919	0.351268	Some scientists predict that the world oil reserves will be used up within a century.
v52_mean_conv5way_step7000	p34	dtp_Latn	v5_target	-0.050549	-0.469856	Manu ko' do apol?
v52_mean_conv5way_step7000	p35	eng_Latn	v5_target	-0.554547	0.062421	Do you like apples?
v52_mean_conv5way_step7000	p36	dtp_Latn	v5_target	-0.140881	-0.528799	Mada oku dii.
v52_mean_conv5way_step7000	p37	eng_Latn	v5_target	-0.496755	0.073707	I don't think so.
v52_mean_conv5way_step7000	p38	dtp_Latn	v5_target	-0.184527	-0.576142	Olumis ilo wotik.
v52_mean_conv5way_step7000	p39	eng_Latn	v5_target	-0.567966	0.074472	That's a pretty colour.
v52_mean_conv5way_step7000	p40	dtp_Latn	v5_target	0.231558	-0.577841	Au oku nokoilo nunu o taakan ku kosodop.
v52_mean_conv5way_step7000	p41	eng_Latn	v5_target	-0.507502	0.227389	I can't remember what I ate last night.
v52_mean_conv5way_step7000	p42	dtp_Latn	v5_target	0.273777	-0.484832	Nokoumbal ko' minoi hilo'd Paris di gulu?
v52_mean_conv5way_step7000	p43	eng_Latn	v5_target	-0.435089	0.143348	Have you ever been to Paris?
v52_mean_conv5way_step7000	p44	dtp_Latn	v5_target	0.227162	-0.643435	Kikaraja isido dot oruhai sabaagi do mananaip.
